ID ,url,firstComment,latestComments/0/text,latestComments/1/text,latestComments/2/text,latestComments/3/text,latestComments/4/text,latestComments/5/text,latestComments/6/text,latestComments/7/text,latestComments/8/text
JDC COMMENTS,https://www.instagram.com/p/CnAjqnpPX5k/,La marta demostró ser una buena chef,La marta demostró ser una buena chef,Formem els alumnes perquè facin el que s’ha pogut veure al programa. Estic molt orgullós d’ella. És tal i com l’heu pogut veure @martamartinez20,M'agrada molt que la Marta participi més en les decisions.,"Està be pero , que deixi que tambe prengui decisions la Marta ..",Crec que cada un valora i respecta la decisió del altre i actuen en consequencia,,,,
JDC COMMENTS,https://www.instagram.com/p/CnSjP6JsHdK/,No hi ha una llista pública on puguem sentir totes les cançóns que s’escolten Sl programa. M’agraden tant totes... peròno les puc continuar escoltant perquè el programa continua,No hi ha una llista pública on puguem sentir totes les cançóns que s’escolten Sl programa. M’agraden tant totes... peròno les puc continuar escoltant perquè el programa continua,Ohhh final de temporada????? Volem mes capitols!,M'agraden les pífies però tinc ganes que comenci ben aviat la nova temporada!,Quan començarà la pròxima temporada?,Ohhhhh!!!!!!,,,,
JDC COMMENTS,https://www.instagram.com/p/CnC_k3DBoGo/,"Crec q és el programa en el q @madxef ha parlat menys en els dinars... Estava còmode, còmode...","Crec q és el programa en el q @madxef ha parlat menys en els dinars... Estava còmode, còmode...","Tooooma castanya, per ficar-te amb la resta et mereixes perdre",No confonem el nivell del restaurant amb la personalitat del representant del restaurant....és clar és un programa de la tele i els cuiners insípids sense sang que callem més que parlen i foten (i critiquen) al qui diu el què pensa...i sincerament el què ha guanyat no té cap gràcia sembla un menjador de bar qualsevol!!,"Trobo que el jurat no tindria que estar format pels mateixos concursants. Hauria de ser gent que no tingues res a veure, portar-los a menjar als diferents restaurants i que votessin. O gent especialitzada.","Jo he rigut molt amb l""Andrés,  personalment aniria al @casanova.restaurant, tenen un producte boníssim, un pél car, 70 euros per comensal... Pica! malgrat els aires de l""Andrés, però va fer comentaris bons com el tàrtar de vedella, com més tallat menys gustós. Ies notava que aquella vedella era madurada, tenía un color brutal! És un restaurant diferent per anar-lo a provar. El meu guanyador ha estat @casajoan cuina catalana, bon producte i bona presentació, un restaurant que pots anar cada diumenge. El segón, @ticusrestaurant  modernet amb un tipus de cuina que m""agrada, aquella patata bomba m""ha impactat!!! I el més fluix però no menys bo el @cavescanalsimunne l""espai i la cuina és el que més m""ha fallat, el menjar semblava correcte. Felicitats a @casajoan i al @ticusrestaurant!!!","Jo he rigut molt amb l""Andrés,  personalment aniria al @casanova.restaurant, tenen un producte boníssim, un pél car, 70 euros per comensal... Pica! malgrat els aires de l""Andrés, però va fer comentaris bons com el tàrtar de vedella, com més tallat menys gustós. Ies notava que aquella vedella era madurada, tenía un color brutal! És un restaurant diferent per anar-lo a provar. El meu guanyador ha estat @casajoan cuina catalana, bon producte i bona presentació, un restaurant que pots anar cada diumenge. El segón, @ticusrestaurant  modernet amb un tipus de cuina que m""agrada, aquella patata bomba m""ha impactat!!! I el més fluix però no menys bo el @cavescanalsimunne l""espai i la cuina és el que més m""ha fallat, el menjar semblava correcte. Felicitats a @casajoan i al @ticusrestaurant!!!",Felicidades al ganador! El Casanova para nada merecía quedarse el último!! El sitio y la cocina brutal,Un concurs que et jutje la competencia??,"@tanieta13  el nivel del restaurante está al nivel del chef,  cada uno ha demostrado quién y cómo es, a partir de ahí que decida el público donde quiere ir."
JDC COMMENTS,https://www.instagram.com/p/CnAlcifITXU/,Noi sons cuatre provincies,Noi sons cuatre provincies,"Tres pobles us heu passat! De Catalunya? Serà de Barcelona no? Les altres províncies que els donguin! Us penseu que sou el centre del món. I això que sóc molt fan del programa, però aquest cop heu ficat la pota fins el fons!",Muy mal!!! Os la jugasteis con el postre,Molteees felicitats!! @hoteleria.joviat es un craack @marcmorral,"Felicitats, segur que ho fan de p.m Però no es una mica agosarat dir que es la millor escola de Catalunya quan han concursat sols tres escoles ? El títol de millor escola de Catalunya es oficial ?","De Catalunya no, de Barcelona. N'hi ha més d'escoles d'hostaleria.",Vam gaudir molt del concurs!! Gràcies per contar amb nosaltres!!!,Moooltes felicitats!!! Va ser un plaer competir contra vosaltres @hoteleria.joviat,Totes de província de Barcelona...no n'hi ha més a les altres províncies?
JDC COMMENTS,https://www.instagram.com/p/CnAme22oAG7/,El pollastre estava més fet i dirigit pel professor que per l'alumne... els altres dos grups han actuat millor en aquest aspecte.,El pollastre estava més fet i dirigit pel professor que per l'alumne... els altres dos grups han actuat millor en aquest aspecte.,"Quina llàstima, oi @madxef ?",La pregunta és: per què totes les copes de vi eren buides?  Quin crim! Especialment amb aquell pollastre!,@bcnfoodlover no pagará ninguna marca,,,,,
JDC COMMENTS,https://www.instagram.com/p/Cm9CdqbId2P/,lo os sigo desde Milano....me encanta el programa y la cocina española catalana,lo os sigo desde Milano....me encanta el programa y la cocina española catalana,@cett_ub ???,❤️,i qui farà de jurat? No,Veniu a Terrassa?,"Que chulooooo. M'agradaría que sortís ""Terra d'Escudella""",Molta sort,Emocionante,‍‍
JDC COMMENTS,https://www.instagram.com/p/Cm_kMvHonQA/,Cristina Roig una gran cuinera ❤️,Cristina Roig una gran cuinera ❤️,Quina decepcio,"De Catalunya?? Haurien d'haver dit de Barcelona i provincia. Trobo curiós doncs que els 3 germans catalans que tenen  un dels ""millors"" restaurants del món no hagin estudiat a cap d'aquestes escoles elitistes.",De Catalunya??? Si no n'hi ha cap de fora de província de Barcelona!!!! La resta de provincies també existeixen. Quina decepció!!! Digueu millor escola d'hoteleria de la província de Barcelona i llestos. Tenim molt bones escoles les altres 3 provincies i ni oportunitat de demostrar.ho!!,M.encanten les teves postes d.escena jiji et superes .. com no !!,,,,
JDC COMMENTS,https://www.instagram.com/p/CmyjuZtInJY/,Jo crec q ha sigut pq com profesor no pot canviar de cop i.volta el.xip,Jo crec q ha sigut pq com profesor no pot canviar de cop i.volta el.xip,Moltes felicitats a le Joviat una gran escola,Enhorabona joviat!!!!! Grandes!!!,"No és ego, és ofici!!",No m'ha semblat bé que el professor manés tan a l'escola i a la darrera prova. Havia de manar la Xènia. Valoro més a les altres dues concursants.,,,,
JDC COMMENTS,https://www.instagram.com/p/CnAiQHEokQ2/,Enhorabona joviat!,Enhorabona joviat!,,,,,,,,
JDC COMMENTS,https://www.instagram.com/p/CnAgqqLtqHy/,Estrategia clarament!!,Estrategia clarament!!,la manera de vendre mes el programa. angeles i dimoni ven mes,això fa que programes així tinguin públic. deixant a un com l'dolent i itros els bons. bon realitzador,"Quan jo vaig anar em va anar de conya el chiquipark pq anavem amb nens, pero no es un restaurant acollidor, massa gran.El menjar que va ser calçotada be.",@estebanbala92 y tu como sabes que no lo he probado?,@manolosegurata es fácil: dime cuando fuiste y qué te sirvieron de aperitivo.,,,
